title,cpe_version,part,vendor,product,version,cve_update,edition,language,sw_edition,target_sw,target_hw,other
ABB RTU500 Firmware 12.2.1.0,2.3,o,abb,rtu500_firmware,12.2.1.0,*,*,*,*,*,*,*
CogniToys STEMosaur Firmware 0.0.794,2.3,o,cognitoys,stemosaur_firmware,0.0.794,*,*,*,*,*,*,*
Mitsubishi GB-50ADA-J,2.3,h,mitsubishi,gb-50ada-j,-,*,*,*,*,*,*,*
Varnish Software Varnish Cache 6.0.3 LTS Edition,2.3,a,varnish-software,varnish_cache,6.0.3,*,*,*,lts,*,*,*
Nicdark ND Shortcodes 2.4 for WordPress,2.3,a,nicdark,nd_shortcodes,2.4,*,*,*,*,wordpress,*,*
WordPlus Better Messages 1.9.0.1 for WordPress,2.3,a,wordplus,better_messages,1.9.0.1,*,*,*,*,wordpress,*,*
Briar Project Briar 1.4.15,2.3,a,briarproject,briar,1.4.15,*,*,*,*,*,*,*
Speed Software Explorer 2.1.5,2.3,a,speed_software,explorer,2.1.5,*,*,*,*,*,*,*
Google Chrome 90.0.4430.238,2.3,a,google,chrome,90.0.4430.238,*,*,*,*,*,*,*
WSO2 Transport-HTTP 6.0.204,2.3,a,wso2,transport-http,6.0.204,*,*,*,*,*,*,*
Octopus Server 2018.2.4,2.3,a,octopus,octopus_server,2018.2.4,*,*,*,*,*,*,*
ZohoCorp ManageEngine Password Manager Pro 9.5 Build 9501,2.3,a,zohocorp,manageengine_password_manager_pro,9.5,build9501,*,*,-,*,*,*
Elide 3.0.3,2.3,a,elide,elide,3.0.3,*,*,*,*,*,*,*
Erlang/OTP 21.3.8.24,2.3,a,erlang,erlang\/otp,21.3.8.24,*,*,*,*,*,*,*
1Password 1.0.1.146 for Windows,2.3,a,1password,1password,1.0.1.146,*,*,*,*,windows,*,*
Pay Project Pay 6.0.2 for Ruby,2.3,a,pay_project,pay,6.0.2,*,*,*,*,ruby,*,*
Canonical Apport 2.20.8-0ubuntu4,2.3,a,canonical,apport,2.20.8-0ubuntu4,*,*,*,*,*,*,*
Arq Backup Arq 1.3.5 Mac OS,2.3,a,arqbackup,arq,1.3.5,*,*,*,*,mac_os,*,*
SmartBear Swagger UI Dist 2.0.0 for Node.js,2.3,a,smartbear,swagger-ui-dist,2.0.0,*,*,*,*,node.js,*,*
Cisco ASA 5540 Firmware 9.6(4),2.3,o,cisco,asa_5540_firmware,9.6\(4\),*,*,*,*,*,*,*
Snyk CLI 1.1028.0,2.3,a,snyk,snyk_cli,1.1028.0,*,*,*,*,*,*,*
WPRuby Ruby Help Desk 1.2.0 for WordPress,2.3,a,wpruby,ruby_help_desk,1.2.0,*,*,*,*,wordpress,*,*
Jenkins Ivy 2.2 for Jenkins,2.3,a,jenkins,ivy,2.2,*,*,*,*,jenkins,*,*
Suse Subscription Management Tool 2.13.10,2.3,a,suse,subscription_management_tool,2.13.10,*,*,*,*,*,*,*
MapPressPro MapPress 2.67.6 for WordPress,2.3,a,mappresspro,mappress_maps,2.67.6,*,*,*,*,wordpress,*,*
Parks Fiberlink 210,2.3,h,eparks,fiberlink_210,-,*,*,*,*,*,*,*
OpenJS Foundation dijit 1.3.0 Beta 2,2.3,a,openjsf,dijit,1.3.0,beta2,*,*,*,*,*,*
Cloud Foundry UAA 3.6.13,2.3,a,cloudfoundry,uaa,3.6.13,*,*,*,*,*,*,*
Net::Netmask Project Net::Netmask 1.9019 for Perl,2.3,a,net\,\,netmask_project,net\,\,netmask,1.9019,*,*,*
